pos,corr_resp,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,Line1.started,Line2.started,Line3.started,Line4.started,fixation.stopped,Probe.started,key_resp_2.started,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
150,v,16,1,65,1,,,,,165.5745182998944,166.55787099990994,166.55787099990994,166.55787099990994,166.55787099990994,166.57287609996274,167.57276459992863,167.57276459992863,v,1,0.3142229001969099,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
50,c,16,2,66,2,,,,,167.9076004999224,168.8910866000224,168.8910866000224,168.8910866000224,168.8910866000224,168.90587509982288,169.9059494000394,169.9059494000394,c,1,0.26686220010742545,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-150,z,16,3,67,3,,,,,170.1908809999004,171.17409570002928,171.17409570002928,171.17409570002928,171.17409570002928,171.18921420001425,172.1891027998645,172.1891027998645,z,1,0.2716316001024097,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-50,x,17,0,68,0,,,,,172.4906134000048,173.47423939988948,173.47423939988948,173.47423939988948,173.47423939988948,173.48905829992145,174.4890337998513,174.4890337998513,x,1,0.34648250020109117,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
150,v,17,1,69,1,,,,,174.85734659992158,175.84068170003593,175.84068170003593,175.84068170003593,175.84068170003593,175.85557929985225,176.8555633998476,176.8555633998476,v,1,0.2668578000739217,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
50,c,17,2,70,2,,,,,177.1404293999076,178.14020260004327,178.14020260004327,178.14020260004327,178.14020260004327,178.14020260004327,179.13875639997423,179.13875639997423,c,1,0.2668779999949038,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-150,z,17,3,71,3,,,,,179.4237267000135,180.4069870999083,180.4069870999083,180.4069870999083,180.4069870999083,180.42214769986458,181.4220892000012,181.4220892000012,z,1,0.30740150017663836,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-50,x,18,0,72,0,,,,,181.7569335999433,182.74091779999435,182.74091779999435,182.74091779999435,182.74091779999435,182.7557184000034,183.7552012000233,183.7552012000233,x,1,0.26295140013098717,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
150,v,18,1,73,1,,,,,184.0399968000129,185.0237188998144,185.0237188998144,185.0237188998144,185.0237188998144,185.03867349983193,186.03844739985652,186.03844739985652,v,1,0.26987379998899996,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
50,c,18,2,74,2,,,,,186.33995980001055,187.32360769994557,187.32360769994557,187.32360769994557,187.32360769994557,187.33842559996992,188.33841149997897,188.33841149997897,c,1,0.22420400008559227,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-150,z,18,3,75,3,,,,,188.5898659999948,189.57317440002225,189.57317440002225,189.57317440002225,189.57317440002225,189.58838029997423,190.58832969982177,190.58832969982177,z,1,0.28578140027821064,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-50,x,19,0,76,0,,,,,190.9065574000124,191.89021939993836,191.89021939993836,191.89021939993836,191.89021939993836,191.9051174998749,192.90486070001498,192.90486070001498,x,1,0.16813500015996397,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
150,v,19,1,77,1,,,,,193.10663209995255,194.10472459997982,194.10472459997982,194.10472459997982,194.10472459997982,194.10472459997982,195.10471499990672,195.10471499990672,v,1,0.23253479995764792,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
